Year,Fish_population,Abundance,Wildcaugh_fish,Catch,Fishing_fleet,Vessel,Wholesale_value,Wholesale
1997,Chin97,NA,ChinC97,NA,SalmonFleet97,NA,Wholesale97,7.7
1998,Chin98,NA,ChinC98,NA,SalmonFleet98,NA,Wholesale98,9.200000001
1999,Chin99,54575.67143,ChinC99,116815,SalmonFleet99,NA,Wholesale99,6.600000001
2000,Chin00,51907.9043,ChinC00,72581,SalmonFleet00,NA,WholeSale00,5.3
2001,Chin01,66245.72922,ChinC01,102048,SalmonFleet01,NA,WholeSale01,5.1
2002,Chin02,57899.99048,ChinC02,261938,SalmonFleet02,NA,WholeSale02,11.8
2003,Chin03,78181.28889,ChinC03,326606,SalmonFleet03,NA,WholeSale03,17.3
2004,Chin04,57974.43614,ChinC04,376769,SalmonFleet04,NA,WholeSale04,26.9
2005,Chin05,52715.09282,ChinC05,330606.0001,SalmonFleet05,4593,WholeSale05,24.9
2006,Chin06,69591.42064,ChinC06,274170,SalmonFleet06,6280,WholeSale06,29.2
2007,Chin07,47915.13832,ChinC07,193289,SalmonFleet07,4911,WholeSale07,23.8
2008,Chin08,46286.44842,ChinC08,152176,SalmonFleet08,3926,WholeSale08,18.4
2009,Chin09,49749.82983,ChinC09,138064,SalmonFleet09,3705,WholeSale09,16.1
2010,Chin10,52486.05582,ChinC10,174981,SalmonFleet10,3959,WholeSale10,18.5
2011,Chin11,43185.58947,ChinC11,227292,SalmonFleet11,4559,WholeSale11,21.4
2012,Chin12,31571.89075,ChinC12,154506,SalmonFleet12,4359,WholeSale12,18.99999998
2013,Chin13,45522.46667,ChinC13,119619,SalmonFleet13,3312,WholeSale13,12.3
2014,Chin14,46031.24747,ChinC14,310649,SalmonFleet14,4681,WholeSale14,25
2015,Chin15,69967.76381,ChinC15,177568,SalmonFleet15,3959,WholeSale15,25
2016,Chin16,49724.60707,ChinC16,207932,SalmonFleet16,4698,WholeSale16,26.6
2017,Chin17,31383.07576,ChinC17,179413,SalmonFleet17,3266,WholeSale17,26.58
2018,Chin18,19946.05556,ChinC18,116051,SalmonFleet18,3881,WholeSale18,17.75
2019,Chin19,686,ChinC19,117593,SalmonFleet19,1545,WholeSale19,16.2
2020,Chin20,1922,ChinC20,88414,SalmonFleet20,2239,WholeSale20,16.49
2021,Chin21,0,ChinC21,92385,SalmonFleet21,921,WholeSale21,25.89